x,value,error,note
2018-10-29T13:53:24.2Z,0.972,0.023,
2018-10-29T13:53:24.3Z,0.98,0.01,
2018-10-29T13:53:24.4Z,0.98,0.024,
2018-10-29T13:53:24.5Z,0.976,0.02,
2018-10-29T13:53:24.6Z,0.974,0.036,
2018-10-29T13:53:24.7Z,0.983,0.022,
2018-10-29T13:53:24.8Z,0.975,0.021,
2018-10-29T13:53:24.9Z,0.982,0.015,
2018-10-29T13:53:25.0Z,0.981,0.029,
2018-10-29T13:53:25.1Z,0.982,0.018,
2018-10-29T13:53:25.2Z,0.98,0.019,
2018-10-29T13:53:25.3Z,0.976,0.034,
2018-10-29T13:53:25.4Z,0.985,0.012,
2018-10-29T13:53:25.5Z,0.977,0.047,
2018-10-29T13:53:25.6Z,0.985,0.016,
2018-10-29T13:53:25.7Z,0.993,0.01,
2018-10-29T13:53:25.8Z,0.987,0.027,
2018-10-29T13:53:25.9Z,0.992,0.016,
2018-10-29T13:53:26.0Z,0.995,0.022,
2018-10-29T13:53:26.1Z,0.99,0.023,
2018-10-29T13:53:26.2Z,0.998,0.027,
2018-10-29T13:53:26.3Z,0.996,0.022,
2018-10-29T13:53:26.4Z,0.993,0.02,
2018-10-29T13:53:26.5Z,0.995,0.018,
2018-10-29T13:53:26.6Z,0.995,0.015,
2018-10-29T13:53:26.7Z,1.001,0.031,
2018-10-29T13:53:26.8Z,1.004,0.029,
2018-10-29T13:53:26.9Z,0.998,0.019,
2018-10-29T13:53:27.0Z,1,0.011,
2018-10-29T13:53:27.1Z,0.993,0.012,
2018-10-29T13:53:27.2Z,0.987,0.022,
2018-10-29T13:53:27.3Z,0.994,0.017,
2018-10-29T13:53:27.4Z,0.978,0.038,
2018-10-29T13:53:27.5Z,1.002,0.014,
2018-10-29T13:53:27.6Z,0.989,0.023,
2018-10-29T13:53:27.7Z,1.003,0.022,
2018-10-29T13:53:27.8Z,0.998,0.013,
2018-10-29T13:53:27.9Z,0.993,0.023,
2018-10-29T13:53:28.0Z,0.994,0.013,
2018-10-29T13:53:28.1Z,1.01,0.046,
2018-10-29T13:53:28.2Z,0.998,0.013,
2018-10-29T13:53:28.3Z,1.007,0.037,
2018-10-29T13:53:28.4Z,0.992,0.044,
2018-10-29T13:53:28.5Z,1.004,0.031,
2018-10-29T13:53:28.6Z,0.992,0.013,
2018-10-29T13:53:28.7Z,1,0.01,
2018-10-29T13:53:28.8Z,1.008,0.025,
